src/admin/search.js: line 31, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/admin/search.js: line 61, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/admin/search.js: line 77, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/admin/search.js: line 87, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/admin/search.js: line 92, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/admin/search.js: line 127, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').

src/admin/versions.js: line 12, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').

src/analytics.js: line 39, col 18, 'async functions' is only available in ES8 (use 'esversion: 8').
src/analytics.js: line 45, col 36, 'async functions' is only available in ES8 (use 'esversion: 8').
src/analytics.js: line 93, col 21, 'async functions' is only available in ES8 (use 'esversion: 8').
src/analytics.js: line 95, col 22, 'async functions' is only available in ES8 (use 'esversion: 8').
src/analytics.js: line 127, col 23, 'async functions' is only available in ES8 (use 'esversion: 8').
src/analytics.js: line 202, col 34, 'async functions' is only available in ES8 (use 'esversion: 8').
src/analytics.js: line 234, col 33, 'async functions' is only available in ES8 (use 'esversion: 8').
src/analytics.js: line 245, col 5, 'async functions' is only available in ES8 (use 'esversion: 8').
src/analytics.js: line 266, col 24, 'async functions' is only available in ES8 (use 'esversion: 8').
src/analytics.js: line 281, col 34, 'async functions' is only available in ES8 (use 'esversion: 8').
src/analytics.js: line 290, col 31, 'async functions' is only available in ES8 (use 'esversion: 8').
src/analytics.js: line 297, col 35, 'async functions' is only available in ES8 (use 'esversion: 8').

src/api/admin.js: line 10, col 26, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/admin.js: line 19, col 29, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/admin.js: line 26, col 29, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/admin.js: line 39, col 23, 'async functions' is only available in ES8 (use 'esversion: 8').

src/api/categories.js: line 13, col 27, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/categories.js: line 20, col 22, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/categories.js: line 21, col 5, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/categories.js: line 36, col 21, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/categories.js: line 48, col 24, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/categories.js: line 56, col 24, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/categories.js: line 68, col 24, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/categories.js: line 82, col 31, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/categories.js: line 91, col 26, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/categories.js: line 93, col 29, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/categories.js: line 114, col 27, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/categories.js: line 152, col 17, 'object spread property' is only available in ES9 (use 'esversion: 9').
src/api/categories.js: line 155, col 31, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/categories.js: line 180, col 31, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/categories.js: line 196, col 30, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/categories.js: line 240, col 30, 'async functions' is only available in ES8 (use 'esversion: 8').

src/api/chats.js: line 20, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 39, col 17, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 53, col 19, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 88, col 22, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 93, col 28, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 109, col 16, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 111, col 17, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 139, col 19, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 181, col 19, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 188, col 17, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 207, col 18, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 216, col 25, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 237, col 18, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 262, col 19, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 287, col 17, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 308, col 24, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 322, col 25, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 354, col 30, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 364, col 23, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 373, col 26, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 392, col 25, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 401, col 24, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 406, col 26, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 411, col 27, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 416, col 23, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 421, col 25, 'async functions' is only available in ES8 (use 'esversion: 8').

src/api/files.js: line 9, col 19, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/files.js: line 11, col 25, 'async functions' is only available in ES8 (use 'esversion: 8').

src/api/flags.js: line 8, col 19, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/flags.js: line 28, col 16, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/flags.js: line 37, col 19, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/flags.js: line 50, col 19, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/flags.js: line 52, col 20, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/flags.js: line 62, col 23, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/flags.js: line 88, col 23, 'async functions' is only available in ES8 (use 'esversion: 8').

src/api/groups.js: line 15, col 18, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/groups.js: line 24, col 20, 'async functions' is only available in ES8 (use 'esversion: 8').
